,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,"Get to the airport, put my case in, next stop. You know, the bark.",0.052351266,0.003958405,0.10827042,0.6208665,0.062514596,0.15203881
1,"Gardening, yes.",0.004667595,0.0013967667,0.013895783,0.8524787,0.01248226,0.11507889
2,"She was fine. she was all right. I mean, the first plant landed upside down",0.061666127,0.011255546,0.16085376,0.12532316,0.03266831,0.6082331
3,"Well, sometimes you get, you know, a bit negative. Yeah, I like to say something serene. You know? Yeah, like I said, that is it. Right? Well, yeah. You know that all these, you know?",0.12622835,0.014545049,0.416449,0.29418704,0.070936136,0.077654414
4,"Yeah, just get him off the chair and just sit outside in the fresh air saying, try it now, but I've tried to say, man instead of me doing it today, you do it. You know? But he's afraid of falling over. The guy fell over several times and of course..",0.01624115,0.0036716673,0.9309499,0.036420435,0.008758653,0.0039581596
5,Got in touch with the right people? Yes. To one another. Yeah.,0.025119811,0.0037318263,0.0048515047,0.689697,0.014920877,0.26167893
6,"He's been so independent because, I mean, he was he was in the Marines, but he's been so independent and helping other people before he needed himself and he doesn't like it.",0.052507777,0.017874023,0.1221239,0.37505314,0.34704214,0.085398994
7,It works both for and.,0.013719136,0.0022266498,0.030626591,0.82027966,0.03560261,0.09754534
8,We never know. Laughs.,0.0062280586,0.006626327,0.080844104,0.4729266,0.09541001,0.33796492
9,"And this is often very, very commonly when we call our GP. It's so difficult to talk to your GP, I mean, you just end up in these terrible menus.",0.3392197,0.019526245,0.28491187,0.21803625,0.038540304,0.09976564
10,"The only danger I can see is crime. Crime is a lot, isn't it?",0.015220065,0.013841022,0.5101138,0.020615768,0.32916358,0.11104579
11,They don't have taxis today from community aims to begin,0.011159441,0.0024267894,0.02994485,0.24164674,0.6213357,0.0934865
12,"No, that wasn't the taxi, that that was a human error.",0.37100574,0.21867248,0.07872382,0.010872619,0.073987804,0.24673751
13,That's a difficult one.,0.17567345,0.01237793,0.32387757,0.16890767,0.12102703,0.19813633
14,"Technology, stairs and trip hazards",0.010247419,0.0032075946,0.08639571,0.42141923,0.023575222,0.4551548
15,You've got some undesirable people in our block.,0.13353607,0.36543778,0.10472704,0.03680992,0.032923058,0.32656613
16,"The deliveries, delivery services, as a negative, because they don't bring it all the way up the stairs.",0.15180433,0.020026613,0.020397099,0.3765686,0.1445223,0.28668106
